Temps;EA1
-0,02;6,80784201622009
-0,0196;6,80784201622009
-0,0192;6,80784201622009
-0,0188;6,80784201622009
-0,0184;6,82090061903
-0,018;6,82090061903
-0,0176;6,82090061903
-0,0172;6,80784201622009
-0,0168;6,80784201622009
-0,0164;6,82090061903
-0,016;6,82090061903
-0,0156;6,82090061903
-0,0152;6,80784201622009
-0,0148;6,80784201622009
-0,0144;6,82090061903
-0,014;6,80784201622009
-0,0136;6,82090061903
-0,0132;6,82090061903
-0,0128;6,82090061903
-0,0124;6,80784201622009
-0,012;6,82090061903
-0,0116;6,80784201622009
-0,0112;6,80784201622009
-0,0108;6,80784201622009
-0,0104;6,80784201622009
-0,01;6,80784201622009
-0,0096;6,80784201622009
-0,0092;6,82090061903
-0,0088;6,80784201622009
-0,0084;6,80784201622009
-0,008;6,80784201622009
-0,0076;6,82090061903
-0,0072;6,82090061903
-0,0068;6,80784201622009
-0,0064;6,82090061903
-0,006;6,82090061903
-0,0056;6,82090061903
-0,0052;6,80784201622009
-0,0048;6,80784201622009
-0,0044;6,80784201622009
-0,004;6,80784201622009
-0,0036;6,82090061903
-0,0032;6,80784201622009
-0,0028;6,80784201622009
-0,0024;5,72397798299789
-0,002;4,71846556663513
-0,0016;4,15694564580917
-0,0012;3,347312271595
-0,0008;2,70744073390961
-0,0004;2,18509662151337
0;1,75416272878647
0,0004;1,41463905572891
0,0008;1,15346699953079
0,0012;0,944529354572296
0,0016;0,761708915233612
0,002;0,60500568151474
0,0024;0,487478256225586
0,0028;0,396068036556244
0,0032;0,330775022506714
0,0036;0,265482008457184
0,004;0,21324759721756
0,0044;0,174071788787842
0,0048;0,161013185977936
0,0052;0,121837377548218
0,0056;0,108778774738312
0,006;0,0957201719284058
0,0064;0,0826615691184998
0,0068;0,0696029663085938
0,0072;0,0696029663085938
0,0076;0,0565443634986877
0,008;0,0565443634986877
0,0084;0,0434857606887817
0,0088;0,0304271578788757
0,0092;0,0304271578788757
0,0096;0,0434857606887817
0,01;0,0304271578788757
0,0104;0,0173685550689697
0,0108;0,0173685550689697
0,0112;0,0304271578788757
0,0116;0,0304271578788757
0,012;0,0173685550689697
0,0124;0,0173685550689697
0,0128;0,0304271578788757
0,0132;0,0304271578788757
0,0136;0,0304271578788757
0,014;0,0173685550689697
0,0144;0,0304271578788757
0,0148;0,0304271578788757
0,0152;0,0304271578788757
0,0156;0,0173685550689697
0,016;0,0173685550689697
0,0164;0,0173685550689697
0,0168;0,00430995225906372
0,0172;0,0304271578788757
0,0176;0,0173685550689697
0,018;0,0173685550689697
0,0184;0,0304271578788757
0,0188;0,0173685550689697
0,0192;0,0173685550689697
0,0196;0,0173685550689697
0,02;0,0173685550689697
0,0204;0,0173685550689697
0,0208;0,0304271578788757
0,0212;0,0173685550689697
0,0216;0,0173685550689697
0,022;0,0173685550689697
0,0224;0,0173685550689697
0,0228;0,0173685550689697
0,0232;0,0173685550689697
0,0236;0,0304271578788757
0,024;0,0173685550689697
0,0244;0,0304271578788757
0,0248;0,0173685550689697
0,0252;0,0173685550689697
0,0256;0,0173685550689697
0,026;0,0173685550689697
0,0264;0,0173685550689697
0,0268;0,0304271578788757
0,0272;0,0173685550689697
0,0276;0,00430995225906372
0,028;0,0173685550689697
0,0284;0,0173685550689697
0,0288;0,0304271578788757
0,0292;0,0304271578788757
0,0296;0,0173685550689697
0,03;0,0173685550689697
0,0304;0,0304271578788757
0,0308;0,0173685550689697
0,0312;0,0304271578788757
0,0316;0,0173685550689697
0,032;0,0173685550689697
0,0324;0,0173685550689697
0,0328;0,0173685550689697
0,0332;0,0173685550689697
0,0336;0,0304271578788757
0,034;0,0173685550689697
0,0344;0,00430995225906372
0,0348;0,0173685550689697
0,0352;0,0304271578788757
0,0356;0,0173685550689697
0,036;0,0173685550689697
0,0364;0,0304271578788757
0,0368;0,0173685550689697
0,0372;0,0173685550689697
0,0376;0,0173685550689697
0,038;0,0173685550689697
0,0384;0,0173685550689697
0,0388;0,0173685550689697
0,0392;0,0173685550689697
0,0396;0,0304271578788757
0,04;0,0173685550689697
0,0404;0,0173685550689697
0,0408;0,00430995225906372
0,0412;0,00430995225906372
0,0416;0,0304271578788757
0,042;0,0173685550689697
0,0424;0,0173685550689697
0,0428;0,0173685550689697
0,0432;0,0173685550689697
0,0436;0,0173685550689697
0,044;0,0173685550689697
0,0444;0,0304271578788757
0,0448;0,0304271578788757
0,0452;0,0173685550689697
0,0456;0,0304271578788757
0,046;0,0434857606887817
0,0464;0,0304271578788757
0,0468;0,0173685550689697
0,0472;0,0173685550689697
0,0476;0,0173685550689697
0,048;0,0173685550689697
0,0484;0,0173685550689697
0,0488;0,00430995225906372
0,0492;0,0304271578788757
0,0496;0,0173685550689697
0,05;0,0304271578788757
0,0504;0,0304271578788757
0,0508;0,0173685550689697
0,0512;0,0173685550689697
0,0516;0,0304271578788757
0,052;0,0173685550689697
0,0524;0,0304271578788757
0,0528;0,0173685550689697
0,0532;0,0173685550689697
0,0536;0,00430995225906372
0,054;0,0173685550689697
0,0544;0,00430995225906372
0,0548;0,0304271578788757
0,0552;0,0304271578788757
0,0556;0,0304271578788757
0,056;0,0173685550689697
0,0564;0,0173685550689697
0,0568;0,0173685550689697
0,0572;0,0173685550689697
0,0576;0,0173685550689697
0,058;0,0173685550689697
0,0584;0,0173685550689697
0,0588;0,0304271578788757
0,0592;0,0173685550689697
0,0596;0,0304271578788757
